Zma1g0001,,,
Zma1g0002,,,
Zma1g0003,,,
Zma1g0004,,,
Zma1g0005,,,
Zma1g0006,,,
Zma1g0007,,,
Zma1g0008,,,
Zma1g0009,,,
Zma1g0010,,,
Zma1g0011,,,
Zma1g0012,,,
Zma1g0013,,,
Zma1g0014,,,
Zma1g0015,,,
Zma1g0016,,,
Zma1g0017,,,
Zma1g0018,,,
Zma1g0019,,,
Zma1g0020,,,
Zma1g0021,,,
Zma1g0022,,,
Zma1g0023,,,
Zma1g0024,,,
Zma1g0025,,,
Zma1g0026,,,
Zma1g0027,,,
Zma1g0028,,,
Zma1g0029,Zma9g3421,,
Zma1g0030,.,,Zma9g1918
Zma1g0031,.,,Zma9g1936
Zma1g0032,.,,Zma9g1937
Zma1g0033,.,,.
Zma1g0034,.,,.
Zma1g0035,.,,.
Zma1g0036,.,,.
Zma1g0037,.,,.
Zma1g0038,.,,.
Zma1g0039,.,,.
Zma1g0040,.,,.
Zma1g0041,Zma9g3397,,.
Zma1g0042,Zma9g3394,,.
Zma1g0043,.,Zma1g2490,Zma9g1939
Zma1g0044,.,Zma1g2491,Zma9g1941
Zma1g0045,.,Zma1g2498,Zma9g1944
Zma1g0046,.,Zma1g2513,
Zma1g0047,.,Zma1g2514,
Zma1g0048,.,Zma1g2456,
Zma1g0049,.,Zma1g2455,
Zma1g0050,.,.,
Zma1g0051,.,.,
Zma1g0052,.,Zma1g2452,
Zma1g0053,.,.,
Zma1g0054,.,Zma1g2447,
Zma1g0055,.,.,
Zma1g0056,.,.,
Zma1g0057,.,.,
Zma1g0058,.,Zma1g2444,
Zma1g0059,.,.,
Zma1g0060,.,.,
Zma1g0061,.,.,
Zma1g0062,Zma9g3390,.,
Zma1g0063,Zma9g3385,.,
Zma1g0064,.,.,
Zma1g0065,.,.,
Zma1g0066,Zma9g3380,.,
Zma1g0067,Zma9g3379,.,
Zma1g0068,.,.,
Zma1g0069,.,.,
Zma1g0070,.,.,
Zma1g0071,.,Zma1g2433,
Zma1g0072,.,.,
Zma1g0073,Zma9g3378,.,
Zma1g0074,.,.,
Zma1g0075,.,.,
Zma1g0076,.,.,
Zma1g0077,Zma9g3373,.,
Zma1g0078,.,.,
Zma1g0079,.,Zma1g2410,
Zma1g0080,.,,
Zma1g0081,.,,
Zma1g0082,.,,
Zma1g0083,.,,
Zma1g0084,Zma9g3370,,
Zma1g0085,Zma9g3369,,
Zma1g0086,.,,
Zma1g0087,Zma9g3368,,
Zma1g0088,Zma9g3367,,
Zma1g0089,.,,
Zma1g0090,.,,
Zma1g0091,Zma9g3362,,
Zma1g0092,.,,
Zma1g0093,.,,
Zma1g0094,Zma9g3359,,
Zma1g0095,.,Zma1g4468,Zma5g1096
Zma1g0096,Zma9g3357,.,.
Zma1g0097,.,.,.
Zma1g0098,.,.,.
Zma1g0099,.,.,.
Zma1g0100,Zma9g3346,.,.
Zma1g0101,.,.,Zma5g1088
Zma1g0102,Zma9g3345,Zma1g4457,Zma5g1087
Zma1g0103,.,Zma1g4444,Zma5g1078
Zma1g0104,.,.,.
Zma1g0105,.,.,.
Zma1g0106,Zma9g3340,.,.
Zma1g0107,.,.,Zma5g1058
Zma1g0108,.,Zma1g4434,Zma5g1057
Zma1g0109,.,Zma1g4432,Zma5g1056
Zma1g0110,.,,
Zma1g0111,.,,
Zma1g0112,.,,
Zma1g0113,.,,
Zma1g0114,.,,
Zma1g0115,.,,
Zma1g0116,.,Zma1g2298,
Zma1g0117,.,Zma1g2302,
Zma1g0118,.,.,
Zma1g0119,Zma9g3332,.,
Zma1g0120,.,Zma1g2304,
Zma1g0121,.,.,
Zma1g0122,.,.,
Zma1g0123,.,Zma1g2307,
Zma1g0124,.,.,
Zma1g0125,.,.,
Zma1g0126,.,.,
Zma1g0127,.,.,
Zma1g0128,.,Zma1g2310,
Zma1g0129,.,.,
Zma1g0130,.,.,
Zma1g0131,Zma9g3324,.,
Zma1g0132,Zma9g3323,.,
Zma1g0133,.,.,
Zma1g0134,.,Zma1g2312,
Zma1g0135,.,.,
Zma1g0136,.,.,
Zma1g0137,.,.,
Zma1g0138,.,.,
Zma1g0139,.,.,
Zma1g0140,Zma9g3322,.,
Zma1g0141,.,.,
Zma1g0142,.,.,
Zma1g0143,.,Zma1g2314,
Zma1g0144,.,.,
Zma1g0145,.,Zma1g2317,
Zma1g0146,Zma9g3320,,
Zma1g0147,.,,
