Osa01g00001,Sbi3g1491,
Osa01g00002,Sbi3g1489,
Osa01g00003,.,
Osa01g00004,.,
Osa01g00005,Sbi3g1480,
Osa01g00006,.,
Osa01g00007,Sbi3g1477,
Osa01g00008,Sbi3g1476,
Osa01g00009,Sbi3g1469,
Osa01g00010,.,
Osa01g00011,.,
Osa01g00012,Sbi3g1468,
Osa01g00013,Sbi3g1465,
Osa01g00014,.,
Osa01g00015,.,
Osa01g00016,Sbi3g1464,
Osa01g00017,Sbi3g1462,
Osa01g00018,Sbi3g1458,
Osa01g00019,Sbi3g1456,
Osa01g00020,Sbi3g1454,
Osa01g00021,.,
Osa01g00022,Sbi3g1453,
Osa01g00023,.,
Osa01g00024,Sbi3g1452,
Osa01g00025,.,
Osa01g00026,.,
Osa01g00027,Sbi3g1450,
Osa01g00028,Sbi3g1446,
Osa01g00029,Sbi3g1445,
Osa01g00030,Sbi3g1444,
Osa01g00031,Sbi3g1436,
Osa01g00032,Sbi3g1433,
Osa01g00033,.,
Osa01g00034,Sbi3g1431,
Osa01g00035,Sbi3g1430,
Osa01g00036,.,
Osa01g00037,Sbi3g1429,
Osa01g00038,Sbi3g1428,
Osa01g00039,.,
Osa01g00040,Sbi3g1426,
Osa01g00041,Sbi3g1425,
Osa01g00042,.,
Osa01g00043,.,
Osa01g00044,.,
Osa01g00045,.,
Osa01g00046,Sbi3g1424,
Osa01g00047,.,
Osa01g00048,.,
Osa01g00049,.,
Osa01g00050,.,
Osa01g00051,Sbi3g1422,
Osa01g00052,Sbi3g1421,
Osa01g00053,Sbi3g1420,
Osa01g00054,Sbi3g1417,
Osa01g00055,Sbi3g1416,
Osa01g00056,Sbi3g1414,
Osa01g00057,.,
Osa01g00058,.,
Osa01g00059,.,
Osa01g00060,Sbi3g1399,
Osa01g00061,Sbi3g1393,
Osa01g00062,Sbi3g1392,
Osa01g00063,Sbi3g1390,
Osa01g00064,.,
Osa01g00065,Sbi3g1388,
Osa01g00066,.,
Osa01g00067,Sbi3g1387,
Osa01g00068,Sbi3g1386,
Osa01g00069,Sbi3g1382,
Osa01g00070,Sbi3g1380,
Osa01g00071,.,
Osa01g00072,.,
Osa01g00073,Sbi3g1378,
Osa01g00074,Sbi3g1377,
Osa01g00075,.,
Osa01g00076,Sbi3g1374,
Osa01g00077,.,
Osa01g00078,Sbi3g1373,
Osa01g00079,.,
Osa01g00080,.,
Osa01g00081,.,
Osa01g00082,.,
Osa01g00083,Sbi3g1366,
Osa01g00084,Sbi3g1363,
Osa01g00085,.,
Osa01g00086,.,
Osa01g00087,Sbi3g1358,
Osa01g00088,.,
Osa01g00089,Sbi3g1355,
Osa01g00090,Sbi3g1350,
Osa01g00091,Sbi3g1349,
Osa01g00092,Sbi3g1347,
Osa01g00093,.,
Osa01g00094,Sbi3g1335,
Osa01g00095,Sbi3g1334,
Osa01g00096,Sbi3g1329,
Osa01g00097,Sbi3g1328,
Osa01g00098,Sbi3g1326,
Osa01g00099,Sbi3g1325,
Osa01g00100,.,
Osa01g00101,.,
Osa01g00102,.,
Osa01g00103,Sbi3g1319,
Osa01g00104,.,
Osa01g00105,Sbi3g1318,
Osa01g00106,Sbi3g1317,
Osa01g00107,.,
Osa01g00108,.,
Osa01g00109,.,
Osa01g00110,.,
Osa01g00111,Sbi3g1298,
Osa01g00112,Sbi3g1299,
Osa01g00113,.,
Osa01g00114,Sbi3g1302,
Osa01g00115,.,
Osa01g00116,Sbi3g1303,
Osa01g00117,Sbi3g1298,
Osa01g00118,Sbi3g1299,
Osa01g00119,Sbi3g1304,
Osa01g00120,Sbi3g1302,
Osa01g00121,Sbi3g1298,
Osa01g00122,Sbi3g1299,
Osa01g00123,Sbi3g1309,
Osa01g00124,Sbi3g1302,
Osa01g00125,Sbi3g1306,
Osa01g00126,Sbi3g1309,
Osa01g00127,.,
Osa01g00128,.,
Osa01g00129,.,
Osa01g00130,Sbi3g1303,
Osa01g00131,Sbi3g1298,
Osa01g00132,.,
Osa01g00133,Sbi3g1299,
Osa01g00134,Sbi3g1299,
Osa01g00135,Sbi3g1298,
Osa01g00136,.,
Osa01g00137,Sbi3g1299,
Osa01g00138,Sbi3g1306,
Osa01g00139,Sbi3g1303,
Osa01g00140,Sbi3g1309,
Osa01g00141,.,
Osa01g00142,Sbi3g1304,
Osa01g00143,Sbi3g1306,
Osa01g00144,Sbi3g1304,
Osa01g00145,Sbi3g1309,
Osa01g00146,Sbi3g1302,
Osa01g00147,Sbi3g1309,
Osa01g00148,Sbi3g1303,
Osa01g00149,.,
Osa01g00150,Sbi3g1304,
Osa01g00151,Sbi3g1298,
Osa01g00152,.,
Osa01g00153,.,
Osa01g00154,Sbi3g1295,
Osa01g00155,Sbi3g1294,
Osa01g00156,Sbi3g1293,
Osa01g00157,Sbi3g1291,
Osa01g00158,Sbi3g1274,
Osa01g00159,Sbi3g1275,
Osa01g00160,Sbi3g1277,
Osa01g00161,Sbi3g1283,
Osa01g00162,Sbi3g1285,
Osa01g00163,.,
Osa01g00164,.,
Osa01g00165,.,
Osa01g00166,.,
Osa01g00167,.,
Osa01g00168,.,
Osa01g00169,Sbi3g1273,
Osa01g00170,Sbi3g1272,
Osa01g00171,Sbi3g1271,
Osa01g00172,Sbi3g1270,
Osa01g00173,.,
Osa01g00174,Sbi3g1264,
Osa01g00175,Sbi3g1263,
Osa01g00176,Sbi3g1262,
Osa01g00177,Sbi3g1261,
Osa01g00178,Sbi3g1258,
Osa01g00179,Sbi3g1250,
Osa01g00180,Sbi3g1248,
Osa01g00181,Sbi3g1247,
Osa01g00182,Sbi3g1229,
Osa01g00183,Sbi3g1230,
Osa01g00184,Sbi3g1233,
Osa01g00185,.,
Osa01g00186,.,
Osa01g00187,.,
Osa01g00188,.,
Osa01g00189,Sbi3g1240,
